ordem,operacao,centro_trabalho_id,centro_trabalho,data_inicio_base,hora_inicio_base,data_fim_base,hora_fim_base,indice_irpe,quantidade_executantes,esforco_individual,unidade_esforco_individual,chave_modelo,equipamento_ordem,local_instalacao_ordem,roteiro_operacoes,lista_tarefas_id,qualificacao,proficiencia_qualif,habilidade,proficiencia_hab
4011869,10,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011870,,,,,
4011869,60,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011870,,,,,
4011869,70,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011870,,,,,
4011869,80,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011870,,,,,
4011870,10,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011871,,,,,
4011870,60,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011871,,,,,
4011870,70,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011871,,,,,
4011870,80,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011871,,,,,
4011871,10,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011872,,,,,
4011871,60,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011872,,,,,
4011871,70,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011872,,,,,
4011871,80,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011872,,,,,
4011872,10,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011873,,,,,
4011872,60,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011873,,,,,
4011872,70,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011873,,,,,
4011872,80,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011873,,,,,
4011873,10,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011874,,,,,
4011873,60,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011874,,,,,
4011873,70,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011874,,,,,
4011873,80,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000057,,1000011874,,,,,
4011882,10,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,1,H,,123456789,BR-ANC-ARM-ALA4-F2FE4,1000011883,,,,,
4011883,10,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,1,H,,123456789,BR-ANC-ARM-ALA4-F2FE4,1000011884,,,,,
4011884,10,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,1,H,,123456789,BR-ANC-ARM-ALA4-F2FE4,1000011885,,,,,
4011885,10,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,1,H,,123456789,BR-ANC-ARM-ALA4-F2FE4,1000011886,,,,,
4011886,10,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,1,H,,123456789,BR-ANC-ARM-ALA4-F2FE4,1000011887,,,,,
4011887,10,10000036,ITSS_JL,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,1,H,,123456789,BR-ANC-ARM-ALA4-F2FE4,1000011888,,,,,
4011960,10,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011961,,,,,
4011960,20,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011961,,,,,
4011960,30,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011961,,,,,
4011960,40,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011961,,,,,
4011960,50,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011961,,,,,
4011961,10,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011962,,,,,
4011961,20,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011962,,,,,
4011961,30,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011962,,,,,
4011961,40,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011962,,,,,
4011961,50,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011962,,,,,
4011962,10,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011963,,,,,
4011962,20,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011963,,,,,
4011962,30,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011963,,,,,
4011962,40,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011963,,,,,
4011962,50,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011963,,,,,
4011963,10,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011964,,,,,
4011963,20,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011964,,,,,
4011963,30,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011964,,,,,
4011963,40,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011964,,,,,
4011963,50,10000059,ELETRICA,15/2/2025,00:00:01,15/2/2025,23:59:59,10,,1,H,,,2000-P001-AA-01,1000011964,,,,,
4012020,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000008,ITSS-GYN1-PRED-SLRN,1000012021,,,,,
4012020,20,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000008,ITSS-GYN1-PRED-SLRN,1000012021,,,,,
4012020,30,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000008,ITSS-GYN1-PRED-SLRN,1000012021,,,,,
4012021,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000008,ITSS-GYN1-PRED-SLRN,1000012022,,,,,
4012021,20,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000008,ITSS-GYN1-PRED-SLRN,1000012022,,,,,
4012021,30,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000008,ITSS-GYN1-PRED-SLRN,1000012022,,,,,
4012022,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000008,ITSS-GYN1-PRED-SLRN,1000012023,,,,,
4012022,20,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000008,ITSS-GYN1-PRED-SLRN,1000012023,,,,,
4012022,30,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000008,ITSS-GYN1-PRED-SLRN,1000012023,,,,,
4012023,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000008,ITSS-GYN1-PRED-SLRN,1000012024,,,,,
4012023,20,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000008,ITSS-GYN1-PRED-SLRN,1000012024,,,,,
4012023,30,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000008,ITSS-GYN1-PRED-SLRN,1000012024,,,,,
4012025,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012026,,,,,
4012025,20,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012026,,,,,
4012025,30,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,2,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012026,,,,,
4012025,40,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012026,,,,,
4012025,50,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012026,,,,,
4012026,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012027,,,,,
4012026,20,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012027,,,,,
4012026,60,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012027,,,,,
4012026,70,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012027,,,,,
4012026,80,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012027,,,,,
4012027,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012028,,,,,
4012027,20,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012028,,,,,
4012027,30,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,2,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012028,,,,,
4012027,40,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012028,,,,,
4012027,50,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012028,,,,,
4012028,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012029,,,,,
4012028,20,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012029,,,,,
4012029,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,5",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012030,,,,,
4012029,20,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012030,,,,,
4012029,30,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,2,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012030,,,,,
4012029,40,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012030,,,,,
4012029,50,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012030,,,,,
4012029,60,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012030,,,,,
4012029,70,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012030,,,,,
4012029,80,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,"0,1",H,,10000009,BR-ANC-ARM-ALA4-F2FE4,1000012030,,,,,
4012174,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,1,H,,10000013,ITSS-BORR-SDRC,1000012175,,,,,
4012177,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,10,1,1,H,,10000005,1005,1000012178,,,,,
4012177,20,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,10,1,1,H,,10000005,1005,1000012178,,,,,
4012192,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,1,1,H,,10000168,ITSS-BORR-SDRC,1000012193,,,,,
4012193,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000012194,,,,,
4012194,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000012195,,,,,
4012195,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000012196,,,,,
4012196,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000012197,,,,,
4012197,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000012198,,,,,
4012198,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000012199,,,,,
4012209,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000012210,,,,,
4012210,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000012211,,,,,
4012211,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,,,H,,10000008,ITSS-GYN1-PRED-SLRN,1000012212,,,,,
4012212,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,,,H,,10000008,ITSS-GYN1-PRED-SLRN,1000012213,,,,,
4012213,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,,,H,,10000008,ITSS-GYN1-PRED-SLRN,1000012214,,,,,
4012214,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,,,H,,10000008,ITSS-GYN1-PRED-SLRN,1000012215,,,,,
4012215,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,,,H,,10000008,ITSS-GYN1-PRED-SLRN,1000012216,,,,,
4012216,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,,,H,,10000008,ITSS-GYN1-PRED-SLRN,1000012217,,,,,
4012217,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,20,,,H,,10000008,ITSS-GYN1-PRED-SLRN,1000012218,,,,,
4012218,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,10,1,1,H,10,10000051,ITSS-GYN1-PRED-SLRN,1000012219,,,,,
4012219,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,10,1,1,H,21,10000051,ITSS-GYN1-PRED-SLRN,1000012220,,,,,
4012220,10,10000001,BM_EELET,15/2/2025,00:00:01,15/2/2025,23:59:59,10,1,1,H,54884,10000051,ITSS-GYN1-PRED-SLRN,1000012221,,,,,
4008832,10,10000001,BM_EELET,1/5/2025,,1/5/2025,,10,1,1,H,1,,ITSS-BORR-RESS,1000008833,,,,,
4008833,10,10000001,BM_EELET,3/5/2025,,3/5/2025,,10,1,1,H,1,,ITSS-BORR-RESS,1000008834,,,,,
4008834,10,10000001,BM_EELET,4/5/2025,,4/5/2025,00:00:00,10,1,1,H,1,,ITSS-BORR-RESS,1000008835,,,,,
4008835,10,10000001,BM_EELET,4/5/2025,,4/5/2025,00:00:00,10,1,1,H,1,,ITSS-BORR-RESS,1000008836,,,,,
4008837,10,10000001,BM_EELET,4/5/2025,,4/5/2025,00:00:00,10,1,1,H,,,ITSS-BORR-RESS,1000008838,,,,,
4008836,10,10000001,BM_EELET,5/5/2025,,5/5/2025,,10,1,1,H,1,,ITSS-BORR-RESS,1000008837,,,,,
4008845,10,10000001,BM_EELET,7/5/2025,,7/5/2025,,10,1,1,H,7,10000051,ITSS-GYN1-PRED-SLRN,1000008846,,,,,
4008831,10,10000001,BM_EELET,11/5/2025,,11/5/2025,00:00:00,30,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008832,,,,,
4008831,30,10000001,BM_EELET,11/5/2025,,11/5/2025,00:00:00,30,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008832,,,,,
4008831,30,10000001,BM_EELET,11/5/2025,,11/5/2025,00:00:00,30,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008832,,,,,
4008831,30,10000001,BM_EELET,11/5/2025,,11/5/2025,00:00:00,30,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008832,,,,,
4008831,30,10000001,BM_EELET,11/5/2025,,11/5/2025,00:00:00,30,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008832,,,,,
4008847,10,10000097,SQUAD_4,11/5/2025,,11/5/2025,,10,,,H,,,,1000008848,,,,,
4008856,10,10000001,BM_EELET,11/5/2025,,11/5/2025,00:00:00,10,1,2,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008857,,,,,
4008856,20,10000001,BM_EELET,11/5/2025,,11/5/2025,00:00:00,10,2,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008857,,,,,
4008868,10,10000001,BM_EELET,11/5/2025,22:00:00,11/5/2025,23:00:00,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000008869,,,,,
4008846,10,10000001,BM_EELET,13/5/2025,,13/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008847,,,,,
4008846,20,10000067,ARM-ELE,13/5/2025,,13/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008847,,,,,
4008846,30,10000001,BM_EELET,13/5/2025,,13/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008847,,,,,
4008846,40,10000001,BM_EELET,13/5/2025,,13/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008847,,,,,
4008865,10,10000001,BM_EELET,15/5/2025,,15/5/2025,00:00:00,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008866,,,,,
4008866,10,10000001,BM_EELET,15/5/2025,,15/5/2025,00:00:00,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008867,,,,,
4008867,10,10000001,BM_EELET,15/5/2025,20:00:00,15/5/2025,22:00:00,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000008868,,,,,
4008775,20,10000001,BM_EELET,16/5/2025,,16/5/2025,00:00:00,10,1,1,H,10,10000008,ITSS-GYN1-PRED-SLRN,1000008776,,,,,
4008873,10,10000001,BM_EELET,17/5/2025,10:00:00,17/5/2025,13:00:00,10,1,1,H,,10000051,ITSS-GYN1-PRED-SLRN,1000008874,,,,,
4008886,10,10000001,BM_EELET,17/5/2025,,17/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008887,,,,,
4008886,20,10000082,AUTOM,17/5/2025,,17/5/2025,,10,3,"0,7",H,1,10000008,ITSS-GYN1-PRED-SLRN,1000008887,,,,,
4008887,10,10000001,BM_EELET,17/5/2025,,17/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008888,,,,,
4008887,20,10000001,BM_EELET,17/5/2025,,17/5/2025,,10,2,"1,5",H,10,10000008,ITSS-GYN1-PRED-SLRN,1000008888,,,,,
4008863,10,10000001,BM_EELET,18/5/2025,,18/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008864,,,,,
4008875,10,10000001,BM_EELET,18/5/2025,,18/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008876,,,,,
4008877,10,10000001,BM_EELET,18/5/2025,,18/5/2025,,5,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008878,,,,,
4008884,10,10000001,BM_EELET,18/5/2025,,18/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008885,,,,,
4008885,10,10000001,BM_EELET,18/5/2025,,18/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008886,,,,,
4008885,20,10000001,BM_EELET,18/5/2025,,18/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008886,,,,,
4008885,30,10000001,BM_EELET,18/5/2025,,18/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008886,,,,,
4008885,40,10000001,BM_EELET,18/5/2025,,18/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008886,,,,,
4008885,50,10000001,BM_EELET,18/5/2025,,18/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008886,,,,,
4008885,60,10000001,BM_EELET,18/5/2025,,18/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008886,,,,,
4008885,70,10000001,BM_EELET,18/5/2025,,18/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008886,,,,,
4008885,80,10000001,BM_EELET,18/5/2025,,18/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008886,,,,,
4008885,90,10000001,BM_EELET,18/5/2025,,18/5/2025,,10,1,1,H,,10000008,ITSS-GYN1-PRED-SLRN,1000008886,,,,,
